tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,6290,7109,9332,418,613,111,55,3,35,0,0,12,6,5,9797,146,4,39,559,68,1,0,6,0,0,0,0,0,0,2,0,1,0,0,9,22,0,0,0,0,0,2,0,46,2,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,42,509,0,15,0,3,0,9,40,9,35,1,2,0,0,1,3,139,0,0,169,0,0,0,2024,111,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,10208,11257,13461,682,1027,180,76,2,1,0,1,6,7,6,13612,144,8,79,1278,6,0,0,5,0,0,0,0,0,0,1,0,1,0,0,6,16,1,0,0,2,0,3,0,69,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,487,1,16,2,0,0,5,51,18,47,9,2,0,0,6,4,182,0,0,406,0,0,0,3395,181,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,7329,7843,10051,623,880,62,85,3,11,0,1,6,9,4,10428,227,11,17,666,5,0,0,16,0,0,1,0,0,0,4,0,0,0,0,11,14,0,0,0,0,0,8,0,19,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,417,9,14,4,4,0,2,114,15,26,2,0,0,0,5,1,133,0,0,272,0,0,0,2659,172,3
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,5951,6953,9709,269,707,224,55,8,47,2,1,2,3,4,9048,78,7,14,737,5,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,2,0,25,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,509,1,12,2,1,0,6,26,12,29,1,0,0,0,2,1,172,0,0,160,0,0,0,1698,116,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,5333,5340,6732,568,487,869,46,1,2,0,0,7,12,2,7615,83,5,17,357,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,2,11,0,0,0,2,0,10,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,278,8,14,1,2,0,6,60,18,23,1,1,0,1,7,0,46,0,0,160,0,0,0,1493,192,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,8564,9896,13362,1023,936,68,101,0,0,0,0,5,14,6,16509,121,6,19,368,0,0,0,11,0,0,0,2,0,0,4,0,0,0,0,1,34,0,0,0,0,0,13,1,36,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,388,14,17,11,10,2,17,153,9,30,2,4,0,0,8,0,45,0,0,77,0,0,0,3279,537,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,10017,10586,13341,685,673,147,81,22,3,0,0,9,10,5,14970,140,5,20,603,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,1,0,0,12,0,38,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,58,597,2,16,3,2,0,6,75,16,31,1,0,0,0,3,0,83,0,0,147,0,0,0,4783,216,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,6307,6668,8817,507,525,22,39,15,2,0,0,6,8,3,12086,128,2,9,443,0,0,0,16,0,0,0,0,0,0,7,0,0,1,0,4,8,0,0,0,0,0,15,0,38,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,291,16,20,5,0,0,8,87,13,9,2,2,0,1,1,1,91,0,0,212,0,0,0,1921,156,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,7237,8164,10765,505,535,25,139,1,0,0,0,1,7,0,11739,95,2,10,411,2,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,1,2,28,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,473,1,10,2,1,0,0,52,8,17,1,1,0,0,5,0,70,0,0,130,0,0,0,4425,107,0
2014,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,6261,7345,7970,475,513,30,24,1,1,0,0,4,7,2,8539,116,1,55,902,2,0,0,4,1,3,0,0,0,0,14,0,0,0,0,23,16,0,0,0,1,0,3,0,20,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,297,0,15,1,2,1,5,40,8,30,0,0,0,0,13,1,186,0,0,1.285,1,0,0,2240,677,0
